1002	Separation of breast cancer and organ microenvironment transcriptomes in metastases	GPL17021 GPL22245	128	GSE118942	200118942	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE118nnn/GSE118942/suppl/GSE118942_TPM_human_AllGenes_AllPDX.txt.gz ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE118nnn/GSE118942/suppl/GSE118942_TPM_mouse_AllGenes_AllPDX.txt.gz
1028	RNA-seq analysis of breast cancer	GPL18573	6	GSE113650	200113650	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113650/suppl/GSE113650_RNA-seq_BRCA_CellLine_CuffDiff_GEO_submit.txt.gz
1029	circRNA profile in hypopharyngeal cancer	GPL16791	6	GSE111423	200111423	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE111nnn/GSE111423/suppl/GSE111423_DE_circRNA.txt.gz
1031	ONECUT2 Drives Neuroendocrine Prostate Cancer Through Hypoxia Signaling	GPL18573 GPL11154	28	GSE106305	200106305	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE106nnn/GSE106305/suppl/GSE106305_LNCaP_RNA-seq_RPKM_OC2_Overexpression.txt.gz ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE106nnn/GSE106305/suppl/GSE106305_PC3_RNA-seq_RPKM_OC2_Knockdown.txt.gz
1036	Transcriptomic Profiling of Circulating Tumor Cells in Multiple Myeloma: A New Model to Understand Disease Dissemination III	GPL18573	6	GSE124437	200124437	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE124nnn/GSE124437/suppl/GSE124437_README.txt ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE124nnn/GSE124437/suppl/GSE124437_iscData_BD_pamplona.txt.gz
1039	RNA seq comparison between scrambled and shGRP78 cells	GPL18573	6	GSE115849	200115849	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE115nnn/GSE115849/suppl/GSE115849_Patty_RNAseq_wholeList.txt.gz
1041	Transcriptome analysis of TP53-R248L overexpressed 19NS patient-derived glioblastoma cells	GPL23525	2	GSE101980	200101980	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE101nnn/GSE101980/suppl/GSE101980_19NS-control_vs_19NS-TP53-R248L_Processed_data.txt.gz
1043	Differential YAP expression in glioma cells induces cell competition and promotes tumorigenesis	GPL16791	8	GSE123755	200123755	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE123nnn/GSE123755/suppl/GSE123755_Processed_data_file_Liu_Li_2018.txt.gz
1045	Inhibition of TAZ contributes radiation-induced senescence and growth arrest in glioma cells	GPL16791	8	GSE121422	200121422	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE121nnn/GSE121422/suppl/GSE121422_Processed_data_file_Zhang_Li_2018.txt.gz
1046	The induction of core pluripotency master regulators in cancers defines poor clinical outcomes and treatment resistance	GPL16791	24	GSE117193	200117193	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE117nnn/GSE117193/suppl/GSE117193_CWR22Rv1_APSCE_FM.txt.gz ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE117nnn/GSE117193/suppl/GSE117193_LNCaP_APSCE_FM.txt.gz ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE117nnn/GSE117193/suppl/GSE117193_RT112_APSCE_FM.txt.gz
1048	Targeting an RNA-binding Protein Splicing Network in Acute Myeloid Leukemia	GPL20301	39	GSE114558	200114558	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114558/suppl/GSE114558_RBM39_MOLM13_annotated_combined.counts.txt.gz ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114558/suppl/GSE114558_RBM39_THP1_annotated_combined.counts.txt.gz ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114558/suppl/GSE114558_annotated_combined.counts.txt.gz
1051	The splicing factor U2AF1 contributes to cancer progression through a non-canonical role in translation regulation	GPL21290	39	GSE126912	200126912	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE126nnn/GSE126912/suppl/GSE126912_Riboprofiles_counts.txt.gz
1053	Designing a single cell RNA sequencing benchmark dataset to compare protocols and analysis methods [5 Cell Lines Cel-seq]	GPL18573	3	GSE126908	200126908	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE126nnn/GSE126908/suppl/GSE126908_barcode_annotation.csv.gz
1054	Designing a single cell RNA sequencing benchmark dataset to compare protocols and analysis methods [5 Cell Lines 10X]	GPL16791	1	GSE126906	200126906	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE126nnn/GSE126906/suppl/GSE126906_barcodes.csv.gz
1055	Neural cell adhesion molecule 1 (NCAM1; CD56) promotes leukemogenesis and confers drug resistance in acute myeloid leukemia.	GPL11154	6	GSE123071	200123071	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE123nnn/GSE123071/suppl/GSE123071_tab_sh59.tsv_DESeq2results_countsNormalized.txt.gz ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE123nnn/GSE123071/suppl/GSE123071_tab_sh59.tsv_DESeq2results_countsNormalizedTransformed.txt.gz
1058	Chromatin mapping and single-cell immune profiling defines the temporal dynamics of ibrutinib drug response in chronic lymphocytic leukemia [scRNA-seq]	GPL20301	12	GSE111014	200111014	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE111nnn/GSE111014/suppl/GSE111014_barcodes.tsv.gz ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE111nnn/GSE111014/suppl/GSE111014_genes.tsv.gz
1059	RNA-sequencing of Wnt-dependent and Wnt-independent of Glioblastoma stem cell cultures	GPL16791	8	GSE126840	200126840	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE126nnn/GSE126840/suppl/GSE126840_GSCs_DE.csv.gz ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE126nnn/GSE126840/suppl/GSE126840_GSCs_counts.txt.gz
1060	Reducing the structure bias of RNA-Seq reveals a large number of non-annotated non-coding RNA	GPL18573	14	GSE126797	200126797	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE126nnn/GSE126797/suppl/GSE126797_TPM_matrix_all_datasets.csv.gz
1062	Transcriptomic analysis to functionally map the intrinsically disordered domain of EWS/FLI [Experiment 2]	GPL20301	21	GSE122536	200122536	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE122nnn/GSE122536/suppl/GSE122536_Expt_2_total_counts.csv.gz ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE122nnn/GSE122536/suppl/GSE122536_Expt_2_totalcombatcts.csv.gz ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE122nnn/GSE122536/suppl/GSE122536_Expt_2_totalde.csv.gz
1063	Transcriptomic analysis to functionally map the intrinsically disordered domain of EWS/FLI [Experiment 1]	GPL20301	15	GSE122535	200122535	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE122nnn/GSE122535/suppl/GSE122535_Expt_1_total_counts.csv.gz ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE122nnn/GSE122535/suppl/GSE122535_Expt_1_totalcombatcts.csv.gz ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE122nnn/GSE122535/suppl/GSE122535_Expt_1_totalde.csv.gz
1065	RNA stability profiling in SETD2 and METTL14 knockdown HepG2 cells	GPL16791	24	GSE121949	200121949	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE121nnn/GSE121949/suppl/GSE121949_RNAseq_Raw_and_RPKM.txt.gz ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE121nnn/GSE121949/suppl/GSE121949_mRNA_half-life.txt.gz
1067	RNA-seq analysis of AKTi MK2206 resistant BT474 and T47D cells	GPL20301	4	GSE118148	200118148	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE118nnn/GSE118148/suppl/GSE118148_BT474_and_T47D_MK2206_resistant_fpkm.txt.gz
1071	Transcriptome stability profiling using 5'-bromouridine IP chase (BRIC-seq) identifies novel and functional microRNA targets in human melanoma cells.	GPL16791	12	GSE126784	200126784	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE126nnn/GSE126784/suppl/GSE126784_A375_and_A375_211_BRIC_counts.csv.gz ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE126nnn/GSE126784/suppl/GSE126784_A375_vs_A375_211.csv.gz
1073	Transcriptomic analysis of the effect of histone H4 K31R mutation in U2OS cells	GPL20301	6	GSE126451	200126451	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE126nnn/GSE126451/suppl/GSE126451_normalized.log2cpm.tsv.gz
1074	Evidence for HOXC6 as a potential molecular marker for non-small cell lung cancer	GPL20795	12	GSE121896	200121896	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE121nnn/GSE121896/suppl/GSE121896_count_matrix.txt.gz
1077	Potential signaling pathways and gene signatures associated with brain metastases in NSCLC patients	GPL16791	6	GSE126548	200126548	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE126nnn/GSE126548/suppl/GSE126548_DESeq2_results.txt.gz ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE126nnn/GSE126548/suppl/GSE126548_HTSeq_count.txt.gz
